36 磁浮列车限界装置 田甜;尹激;李增旺;夏文站 北京新联铁集团股份有限公司 中国专利 2016-07-21 2017-03-22  收藏 CN206031391U
37 移动式检查作业车和轨道交通机车车辆的运营维护系统 杨学良;周浩;李增旺;卜运强;张念勇;张子宝;崔旭斌;刘洪生 北京新联铁集团股份有限公司 中国专利 2016-08-29 2017-03-15  收藏 CN206012591U
38 移动式检查作业车和轨道交通机车车辆的运营维护系统 杨学良;周浩;李增旺;卜运强;张念勇;张子宝;崔旭斌;刘洪生 北京新联铁集团股份有限公司 中国专利 2016-08-29 2017-02-22  收藏 CN205968975U
39 一种升降平台车和轨道交通机车车辆的运营维护系统及载人车下检查作业车 杨学良;周浩;李增旺;卜运强;张念勇;张子宝;崔旭斌;刘洪生 北京新联铁集团股份有限公司 中国专利 2016-08-29 2017-02-22  收藏 CN205973691U
40 油浸式结构的探杆前部旋转头 高石;单继光;吴艳杰;赵斌 北京新联铁集团股份有限公司 中国专利 2016-07-12 2017-02-08  收藏 CN205941468U
41 用于支撑构架的手动调节定位支撑装置 卜运强;米宁宁 北京新联铁集团股份有限公司 中国专利 2016-07-21 2017-01-04  收藏 CN205852711U
42 移动式检查作业车和轨道交通机车车辆的运营维护系统 杨学良;周浩;李增旺;卜运强;张念勇;张子宝;崔旭斌;刘洪生 北京新联铁集团股份有限公司 中国专利 2016-08-29 2017-01-04  收藏 CN106272314A
43 用于拆装磁浮机车门页的升降机 张鸿斐;张子宝;张敏 北京新联铁集团股份有限公司 中国专利 2016-07-12 2017-01-04  收藏 CN205855912U
44 转向架静载试验台车轮旋转驱动装置 卜运强;米宁宁;王天勇 北京新联铁集团股份有限公司 中国专利 2016-07-27 2017-01-04  收藏 CN205861362U
45 一种升降平台车和轨道交通机车车辆的运营维护系统 杨学良;周浩;李增旺;卜运强;张念勇;张子宝;崔旭斌;刘洪生 北京新联铁集团股份有限公司 中国专利 2016-08-29 2016-12-07  收藏 CN106185742A
46 用于列车转向架的试验装置 李树磊;李增旺;夏文站;项德志;戴文明;姚杰;王义淳;田甜 北京新联铁集团股份有限公司 中国专利 2016-07-21 2016-11-16  收藏 CN106124230A
47 轨道交通机车车辆组装螺栓扭矩管理系统 张宏涛;陈胜利;黄雪峰;戴德刚 北京新联铁集团股份有限公司 中国专利 2016-05-26 2016-10-26  收藏 CN106054828A
