57
30 一种镀膜中空复合玻璃 王烁;李彬;杜彦;韩劲东 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司 中国专利 2011-12-29 2012-10-03  收藏 CN202467537U
31 一种低辐射镀膜玻璃 刘霄枫;刘双;王烁;杜彦 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司 中国专利 2011-12-06 2012-09-26  收藏 CN202448400U
32 一种螺杆空压机及其温度检测装置 李玉强;李彬 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司 中国专利 2011-12-26 2012-08-29  收藏 CN202403815U
33 夹层玻璃生产线辊压炉及其升降机构 李玉强;李彬 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司 中国专利 2011-12-26 2012-08-22  收藏 CN202390321U
34 一种用于夹层高压釜的消音器及具有其的夹层高压釜 齐士新;黄晓恒;董云飞;王旭升 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司 中国专利 2011-11-01 2012-07-25  收藏 CN202349499U
35 一种夹层玻璃及其制备方法 王烁;李彬;葛恩报 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司 中国专利 2011-06-17 2012-07-11  收藏 CN102555356A
36 一种螺杆空压机及其温度检测装置 李玉强;李彬 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司 中国专利 2011-12-26 2012-07-11  收藏 CN102564620A
37 一种钢化连续炉及其钢化炉风栅检测装置 齐士新;黄晓恒;董云飞;刘霄枫 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司 中国专利 2011-11-01 2012-07-04  收藏 CN202297364U
38 夹层玻璃生产线辊压炉及其升降机构 李玉强;李彬 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司 中国专利 2011-12-26 2012-07-04  收藏 CN102531414A
39 一种镀膜玻璃及其制备方法和设备 王烁;李彬;葛恩报;王奇 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司 中国专利 2011-07-27 2012-07-04  收藏 CN102529233A
40 一种镀膜中空复合玻璃及其制造方法 王烁;李彬;杜彦;韩劲东 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司 中国专利 2011-12-29 2012-07-04  收藏 CN102536061A
57
41 一种镀膜玻璃及其生产设备 王烁;李彬;葛恩报;王奇 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司 中国专利 2011-07-27 2012-03-14  收藏 CN202164235U
42 一种双中空玻璃封胶系统及其封胶机构 王健;李彬;胡克武 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司 中国专利 2010-12-29 2011-11-02  收藏 CN202021132U
43 空压机散热系统及其水冷散热器 李玉强;李曾 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司 中国专利 2010-12-29 2011-11-02  收藏 CN202023720U
44 一种高压釜用空压机装置 李玉强;李彬 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司 中国专利 2010-12-29 2011-09-21  收藏 CN201978717U
45 中空玻璃合片机真空系统及其真空发生器 康万山;李曾 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司 中国专利 2010-12-29 2011-09-21  收藏 CN201981124U
46 一种中空玻璃密封凹面胶的封胶板 王健;耿平;胡克武;李彬 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司 中国专利 2010-12-27 2011-09-21  收藏 CN201981125U
47 一种钢化玻璃均质炉 王旭升;齐士新;葛恩报;韩述欢 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司 中国专利 2010-12-30 2011-08-17  收藏 CN201933010U
48 一种玻璃包装箱 王烁;李彬;张润斌;李阳;李曾 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司 中国专利 2010-12-31 2011-08-17  收藏 CN201932546U
49 一种钢化玻璃均质炉 王旭升;齐士新;葛恩报;韩述欢 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司 中国专利 2010-12-30 2011-06-15  收藏 CN102092926A
50 一种玻璃包装箱 王烁;李彬;张润斌;李曾;葛恩报 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司 中国专利 2010-12-31 2011-05-18  收藏 CN102060147A
51 空压机散热系统及其水冷散热器 李玉强;李曾 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司 中国专利 2010-12-29 2011-05-11  收藏 CN102052283A
52 一种密封胶桶的密封结构及具有该密封结构的封胶装置 王旭升 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司 中国专利 2009-12-28 2011-01-19  收藏 CN201711262U
53 一种高压釜真空系统及其安全装置 齐士新;王震 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司 中国专利 2009-12-28 2010-11-03  收藏 CN201618557U
54 一种镀膜玻璃检测装置 王健;康万山 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司 中国专利 2009-12-28 2010-11-03  收藏 CN201622259U
55 一种类金刚石镀膜玻璃及其制备方法 王烁;徐伯永;宋宇;李彬;陈可明;李鹏 天津南玻节能玻璃有限公司;天津南玻工程玻璃有限公司 中国专利 2009-07-22 2009-12-16  收藏 CN101602273
56 夹层玻璃边部的密封方法 耿平;王烁 天津南玻工程玻璃有限公司 中国专利 2008-04-18 2009-05-06  收藏 CN101423338
57 可热处理的磁控溅射方法制备的低辐射镀膜玻璃 王烁;徐伯永 天津南玻工程玻璃有限公司 中国专利 2007-04-26 2007-10-24  收藏 CN101058486
