49
29 一体式电视底座(水性,32-KAMS9800) 胡伟;宁尤军;刘力;万三军;徐昊 东莞市旭通达模具塑胶有限公司 中国专利 2013-12-06 2014-07-09  收藏 CN302873919S
30 一体式电视底座(飞人32-KAMS9100) 刘力;胡伟;宁尤军;万三军;徐昊 东莞市旭通达模具塑胶有限公司 中国专利 2013-12-06 2014-07-09  收藏 CN302873920S
31 一体式电视固定底座(32-KAMS9900) 宁尤军;胡伟;刘力;万三军;徐昊 东莞市旭通达模具塑胶有限公司 中国专利 2013-12-06 2014-07-09  收藏 CN302873921S
32 一种自动注塑模具 徐昊;陈旭松 东莞市旭通达模具塑胶有限公司;深圳康佳精密模具制造有限公司;昆山市杰伦特模具塑胶有限公司 中国专利 2013-06-19 2014-02-05  收藏 CN203418731U
33 一种基于机器视觉的多功能注塑模具控制装置 徐昊;陈旭松 东莞市旭通达模具塑胶有限公司;深圳康佳精密模具制造有限公司;昆山市杰伦特模具塑胶有限公司 中国专利 2013-06-19 2014-02-05  收藏 CN203418734U
34 一种新型注塑模具 徐昊;陈旭松 东莞市旭通达模具塑胶有限公司;深圳康佳精密模具制造有限公司;昆山市杰伦特模具塑胶有限公司 中国专利 2013-06-19 2014-01-29  收藏 CN203409959U
35 一种可缓冲复位的新型注塑模具 徐昊;陈旭松 东莞市旭通达模具塑胶有限公司;深圳康佳精密模具制造有限公司;昆山市杰伦特模具塑胶有限公司 中国专利 2013-06-19 2014-01-29  收藏 CN203409976U
36 一种设有控温系统的注塑模具 徐昊;陈旭松 东莞市旭通达模具塑胶有限公司;深圳康佳精密模具制造有限公司;昆山市杰伦特模具塑胶有限公司 中国专利 2013-06-19 2014-01-29  收藏 CN203409989U
37 一种基于网络的现场三维模型数据库管理系统 陈旭松 东莞市旭通达模具塑胶有限公司 中国专利 2013-04-17 2013-11-06  收藏 CN203276277U
38 一种玻纤高光前壳注塑模具 胡伟;郑鹤鸣 东莞康佳模具塑胶有限公司;东莞市旭通达模具塑胶有限公司 中国专利 2013-04-01 2013-10-30  收藏 CN203254611U
39 手机塑胶件喷涂工艺及实施该工艺制备的手机壳体 周润根;徐永;王雄 东莞市旭通达模具塑胶有限公司;东莞康佳模具塑胶有限公司;深圳康佳精密模具制造有限公司 中国专利 2011-03-15 2012-09-19  收藏 CN102671844A
40 透明支柱注塑模具 胡洪军;陆皇德 东莞市旭通达模具塑胶有限公司 中国专利 2011-07-25 2012-03-21  收藏 CN202169672U
49
41 模具复位机构 熊庆;陈旭松 东莞市旭通达模具塑胶有限公司;东莞康佳模具塑胶有限公司;深圳康佳精密模具制造有限公司 中国专利 2011-04-07 2011-12-28  收藏 CN202088389U
42 出模机构 熊庆;陈旭松 东莞市旭通达模具塑胶有限公司;东莞康佳模具塑胶有限公司;深圳康佳精密模具制造有限公司 中国专利 2011-04-07 2011-12-28  收藏 CN202088411U
43 模具退出机构 熊庆;陈旭松 东莞市旭通达模具塑胶有限公司;东莞康佳模具塑胶有限公司;深圳康佳精密模具制造有限公司 中国专利 2011-04-07 2011-12-28  收藏 CN202088412U
44 模具顶出机构 熊庆;陈旭松 东莞市旭通达模具塑胶有限公司;东莞康佳模具塑胶有限公司;深圳康佳精密模具制造有限公司 中国专利 2011-04-07 2011-12-28  收藏 CN202088413U
45 模具滑块运动机构 熊庆;陈旭松 东莞市旭通达模具塑胶有限公司;东莞康佳模具塑胶有限公司;深圳康佳精密模具制造有限公司 中国专利 2011-04-07 2011-12-07  收藏 CN202062590U
46 包装电视机的缓冲垫 李熙 东莞市旭通达模具塑胶有限公司;深圳康佳精密模具制造有限公司;东莞康佳模具塑胶有限公司 中国专利 2009-12-01 2010-11-24  收藏 CN201647433U
47 新型注塑模具 吴晓东;鲁丹;黄德伟 东莞市旭通达模具塑胶有限公司;深圳康佳精密模具制造有限公司;东莞康佳模具塑胶有限公司 中国专利 2009-12-01 2010-10-20  收藏 CN201609950U
48 自动切除废料的注塑模具 吴晓东;庄锦强 东莞市旭通达模具塑胶有限公司;深圳康佳精密模具制造有限公司;东莞康佳模具塑胶有限公司 中国专利 2009-12-01 2010-10-13  收藏 CN201604267U
49 电视机电动旋转装置 李熙 东莞市旭通达模具塑胶有限公司;深圳康佳精密模具制造有限公司;东莞康佳模具塑胶有限公司 中国专利 2009-12-01 2010-10-13  收藏 CN201606628U
